typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
4	Chesapeake Dance Weekend																Edgewater MD	http://www.chesapeakedanceweekend.org/	
4	Springforth Ball																Richmond VA	http://tadamsva.org/springforth/	
4	Palmetto Bug Stomp																Charleston SC	http://charlestonfolk.weebly.com/palmetto-bug-stomp.html	
4	When in Doubt Swing																Dallas TX	http://www.nttds.org/wids.html	
4	Spring Thaw Weekend																Toronto ON	http://ieee.uwaterloo.ca/~tcd/thaw.php	
4	Portland Raindance Weekend																Portland OR	http://www.portlandraindance.org/	
4	Desert Spring																Phoenix AZ	http://www.danceinaz.org/	
4	Spring Fling Owen Sound																Owen Sound ON	http://fiddlefern.ca/spring-fling/	
4	Mad Robin Romp																Bloomington IA	http://bloomingtoncontra.org/mad-robin-romp/	
5	Almost Heaven Dance Weekend																Darlington MD	https://sites.google.com/site/ahsince1988/home	
5	Form the Ocean													Larks / Robins			Becket MA	next in 2020	
5	Camp Sturtevant Dance Weekend													Larks / Robins			Arcadia CA	http://www.caldancecoop.org/camp-sturtevant/	
5	Butterfly Whirl																Clarkston GA	http://butterflywhirl.com/	
6	Dance Trance Weekend																Lexington KY	http://www.dancetrance.ltda.ws/	
6	June Bug Bash																Pinellas Park FL	https://www.facebook.com/events/pinellas-park-auditorium/june-bug-bash/284762719071796/	
6	Faultline Frolic																Santa Rosa CA	https://nbcds.org/faultline-frolic-2019/	
6	Asheville Summer Soiree																Asheville NC	http://www.ashevillecontra.com/	
7	Ooh La La Dance Weekend																Richmond QC	http://oohlaladance.com/	
7	Delafield IndepenDance Daze Weekend																Delafield WI	http://www.delafieldcontra.com/Delafield_Contra_Weekend.html	
	Northfield Winter Stomp																	cancelled for 2017	
7	Chattaboogie																Chattanooga TN	not in 2016 or 2017	
8	Drumlin Contra Dance Camp																	https://www.facebook.com/Drumlin-Contra-Dance-Camp-108143410543945/?	
8	Burning Man Contra Dance Camp																Black Rock City	http://www.contraburners.org/	
9	Labor Day Dawndance																Brattleboro VT	http://www.dawndance.org/	
																			
3	Tropical Dance Vacation: Hawaii																Big Island, Hawaii	not in 2018	
5	Catapult!																Atlanta GA	not in 2018, butterfly whirl instead	
5	Memorial Day Dawndance																Brattleboro VT	http://www.dawndance.org/	needs organizers
3	Spring Fever Dance Weekend																Aptos CA	indefinite hiatus	
2	Midwinter Meltdown Dance Weekend																Lawrence KS	taking 2018 off	
1	A New Year's Affair																Jonesborough TN	can't find 2018 data; not sure if it happened	
1	Shenandoah Shindig																Dayton VA	can't find anything about 2018	
3	Memfest Dance Weekend																Memphis TN	can't find anything about 2018	
3	Contra Holiday in Medieval England																Ely, England	next happening in 2019	
3	Phoenix Spring Frolic																Mesa AZ	looks like they only did a winter one this year	
5	Wheatland Traditional Arts Weekend																Remus, M	no contra	
8	Fly the Coop Contra Weekend																Gainesville GA	doesn't seem to be in 2018?	
9	Oldtone Roots Festival																Hillsdale NY	very little contra in 2018	
9	Ozark Folk Center Dance Days																Mountain View AR	http://www.arkansascountrydance.org/ozark.htm	
9	Star Hampshire Traditional Music and Dance Weekend																Portsmouth NH	DEFUNCT	
9	Footfall Dance Weekend																High View WV	http://www.footfalldance.com/index.php	
10	Solefest Dance Weekend																Springfield MO	cancelled for 2018	
																			
9	Northwest Passage Dance Camp																Rhododendron	ecd every other year	
																			
10	Fine Time at Our House																Fayetteville AR	very little contra	
5	Blue Moon Dance Weekend																Huntsville AL	doesn't look like it happened in 2018	
10	Hoosier Partner																Indianapolis IN	not in 2019	
10	Looking Glass Music and Dance Festival																Lansing MI	http://www.lgmaa.org/lg_festival.html	
