typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
9	ContraShock	Will Mentor	Nils Fredland					Elixir	Wake up Robin						9/21/2018	Brooklyn NY	http://contrashock.org/
9	ContraStock	Will Mentor	Nils Fredland	Susan Michaels				Elixir	Wake up Robin	Maivish					9/23/2018	Glen Echo MD	https://glenechopark.org/contrastock-viii-all-day-dances
10	Wasatch Wiggle	Lindsey Dono						Offbeats	Uncle Farmer						9/28/2018	Salt Lake City UT	https://www.wasatchwiggle.org/home.html
10	Looking Glass Music and Dance Festival	Beth Molaro						Mean Lids							10/5/2018	Lansing MI	http://www.lgmaa.org/lg_festival.html
10	Lady of the Lake Fall Camp	Susan Petrick						Uncle Farmer	Northern Contraband						10/5/2018	Harrison, ID	http://www.ladyofthelake.org/fallwend/
10	Harvest Moon Dance Festival	Sarah Van Norstrand	Gaye Fifer					Great Bear	Buddy System						10/12/2018	Santa Barbara CA	http://www.sbcds.org/hm/
10	Hoosier Partner	Maggie Jo Saylor	Alex Deis-Lauby	Lauren Peckman				Baba Yaga's Stew	Meadowhawk	Turnip the Beet	Wild Rumpus				10/12/2018	Indianapolis IN	http://www.indycontra.org/hoosierpartner/
10	Mountain Madness Contra Dance Weekend	Will Mentor	Susan Michaels					Pete's Posse	Barefoot	Toss the Possum					10/12/2018	Jonesborough TN	http://www.historicjonesboroughdancesociety.com/site/calendar/
10	Gender-Free Dance Camp (Fall)	Frannie Marr						Dam Beavers						Larks / Ravens	10/19/2018	Becket MA	http://lcfd.org/lcfd/lcfd-fall-dance-camp/
10	Phylla Mae Fall Fest	Dela Murphy	Casey Carr	Squash Family and Cousins				Tempest	Sister Haggis						10/19/2018	Fayetteville NY	https://syracusecountrydancers.org/special-events/phylla-mae-fall-fest/
10	Peterbough Fall Ball	Steve Zakon-Anderson	Mary Wesley	Lisa Greenleaf	Luke Donforth			Spare Parts	Maivish	Transcontinental	Stomp Rocket				10/20/2018	Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-fall-ball-2018
10	Lake Eden Arts Festival - Fall	Seth Tepfer	Terry Doyle					Fyre and Ashe	Mean Lids	DJ Shadow					10/18/2018	Black Mountain NC	http://www.theleaf.org/the-festival/
10	Boo Camp	Peter Johnson						Avourneen	Rusty Tap						10/26/2018	Jemez Springs NM	http://folkmads.org/events/camps/boo-camp/
10	Tree Town Stomp	George Marshall	Laurie Pietravalle					Wild Asparagus	Peregrine Road						10/26/2018	Ann Arbor MI	http://aactmad.org/tts/
10	Music City Masquerade	Will Mentor						Notorious	Turnip the Beet						10/26/2018	Nashville TN	http://nashvillecountrydancers.org/music-city-masquerade/
10	Dancing Leaves	Lisa Greenleaf	Alex Deis-Lauby					Latter Day Lizards	Morrison Brothers	Rushfest					10/26/2018	Charlottesville VA	https://contracorners.com/cville_fall_festival
10	Fire Ant Frolic	Sarah Van Norstrand						Wake up Robin							10/26/2018	Austin TX	http://www.fireantfrolic.org/
10	Florida Fall Ball	Andy Shore						Cloud Ten							10/26/2018	Tampa FL	http://www.tampabaycontra.com/
10	Next Generation Dance Camp	Yoyo Zhou						Waxwings						Larks / Ravens	10/5/2018	Portland OR	http://www.nextgendancecamp.org/
11	Foggy Moon Dance Weekend	Yoyo Zhou	Cis Hinkle					Elixir	Dynamix						11/2/2018	Monterey CA	http://montereycontradance.org/foggy-moon.html
11	Hey Fever Dance Weekend	Lisa Greenleaf	Dugan Murphy					Genticorum	Seaglass						11/2/2018	Ottawa ON	http://www.ottawacontra.ca/heyFever/
11	Cascade Contras Dance Camp	George Marshall	Lindsey Dono					Wild Asparagus	Buddy System						11/9/2018	Fall Creek OR	http://www.eugenefolklore.org/CascadeContras
11	Dance in the Desert	Bob Isaacs	Susan Michaels					Supertrad	Privy Tippers	Adobe Brothers						Oracle AZ	https://tucsoncontradancers.org/tucson-contra-dancers-enjoy-dancing-to-live-music-every-other-saturday/dance-in-the-desert-2018/
11	Pittsburgh Fall Dance Weekend	Will Mentor	Janine Smith					Hotpoint Stringband	Sassafras Stomp						11/2/2018	Pittsburgh PA	http://pittsburghcontra.org/fdw/
11	Head for the Hills Dance Weekend	unnamed						Hold the Mustard	Raise the Roof						11/9/2018	Kresgeville PA	http://www.princetoncountrydancers.org/about-hfth
11	Atlanta Dance Weekend	Gaye Fifer	Jesse Edgarton	Seth Tepfer				Syncopaths	Toss the Possum	Contraforce					11/9/2018	Atlanta GA	http://www.contradance.org/html/weekend/
11	Contra Fest	Will Mentor						Joy Compass							11/9/2018	Albany NY	http://www.danceflurry.org/contrafest.php
11	Fleur-de-Lis Fling	Lisa Greenleaf	Janine Smith					Latter Day Lizards	Barefoot						11/16/2018	Louisville KY	http://www.loukyfleurfling.org/
11	Pilgrim's Progression Dance Weekend	Diane Silver						Syncopaths							11/16/2018	Lawrence KS	http://www.lawrencebarndance.org/lbdawknd.htm
11	Rochester Thanksgiving Dance Weekend	Adina Gordon	Sarah VanNorstrand					Groovemongers	Cloud Ten						11/23/2018	Rochester, NY	https://cdrochester.org/events/2018-thanksgiving-festival/
11	ContraCopia	Alex Deis-Lauby	Bob Isaacs	Diane Silver				Peregrine Road	Tempest	Playing with Fyre					11/24/2018	Philadelphia PA	http://www.thursdaycontra.com/contracopia/
12	Winter Warmup Dance Weekend	Seth Tepfer	Darlene Underwood					Great Bear	Wizard Walk						11/30/2018	Worthington OH	https://bigscioty.com//2018%20warmup.html
