typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url	
9	Echo Summit	Mary Wesley	Steve Zakon-Anderson					Supertrad	Dam Beavers						9/15/2023	Camp Sacremento	https://sactocds.wordpress.com/special-events/echo-summit-dance-camp-2023/	
9	Chehalis Dance Weekend	Lisa Greenleaf	Wendy Graham					KGB	Stringrays						9/22/2023	Surrey, BC	http://www.vcn.bc.ca/vcountry/chehalis/	
9	Youth Dance Weekend	Liz Nelson						Anadama	DJ Lapis					Larks / Robins	9/29/2023	Weston VT	http://youthdanceweekend.org/	
9	Adirondack Dance Weekend	George Marshall	Hannah Chamberlain 					Red Case Band	Alchemy	Kingfisher					9/29/2023	Silver Bay NY	https://www.danceflurry.org/adirondack-dance-weekend/	
10	Dancing Fish: October	Dereck Kalish						Playing with Fyre							10/6/2023	Melrose FL	https://dancingfish.dance/	
10	ContraStock	Janine Smith	Bob Isaacs	Diane Silver				Kingfisher	Live Wire	Unnamed					10/15/2023	Glen Echo MD	https://fsgw.org/contrastock	
9	Pinewoods Labor Day Weekend	Sue Rosen						Unnamed							9/1/2023	Plymouth MA	https://facone.org/labor-day-weekend/labor-day-weekend.html	
10	Lady of the Lake Fall Camp	George Marshall						Engine Room							10/6/2023	Harrison, ID	http://www.ladyofthelake.org/fallwend/	
10	Harvest Moon Dance Festival	Will Mentor	Jacqui Grennan					Stringrays	Eloise &co						10/13/2023	Santa Barbara CA	http://www.sbcds.org/hm/	
10	Phylla Mae Fall Fest	Bev Bernbaum						Ostara	Sister Haggis						10/20/2023	Fayetteville NY	https://syracusecountrydancers.org/special-events/phylla-mae-fall-fest/	
